Report Written :   Sunday, April 13, 2014  14:09
Project Path   :   E:\ALEXANDRE.PROULX.3@GMAIL.COM\µCTRL\#HARDWARE-FIRMWARE\LIVRABLES\ITÉRATIONS PCB\ITÉRATION #22\UCTRL PLATFORM\Platform.prj
Design Path    :   E:\ALEXANDRE.PROULX.3@GMAIL.COM\µCTRL\#HARDWARE-FIRMWARE\LIVRABLES\ITÉRATIONS PCB\ITÉRATION #22\UCTRL PLATFORM\Platform.pcb
Design Title   :
Created        :   2014-03-31 11:05:51
Last Saved     :   2014-04-13 14:07:44
Editing Time   :   1351 min
Units          :   mm (precision 1)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"R15","1","Resistor","10K","SM","","","","","Resistor"
"R19","1","Resistor","10K","SM","","","","","Resistor"
"R20","1","Resistor","10K","SM","","","","","Resistor"
"R27","1","Resistor","10K","SM","","","","","Resistor"
"R32","1","Resistor","10K","SM","","","","","Resistor"
"R8","1","Resistor","33","SM","","","","","Resistor"
"R9","1","Resistor","33","SM","","","","","Resistor"
"R14","1","Resistor","33K","SM","","","","","Resistor"
"R12","1","Resistor","33K","SM","","","","","Resistor"
"R13","1","Resistor","33K","SM","","","","","Resistor"
"R30","1","Resistor","39","SM","","","","","Resistor"
"R35","1","Resistor","39","SM","","","","","Resistor"
"R2","1","Resistor","220","SM","","","","","Resistor"
"R3","1","Resistor","220","SM","","","","","Resistor"
"R4","1","Resistor","220","SM","","","","","Resistor"
"R5","1","Resistor","220","SM","","","","","Resistor"
"R6","1","Resistor","220","SM","","","","","Resistor"
"R7","1","Resistor","220","SM","","","","","Resistor"
"R21","1","Resistor","330","SM","","","","","Resistor"
"R28","1","Resistor","360","SM","","","","","Resistor"
"R29","1","Resistor","360","SM","","","","","Resistor"
"R31","1","Resistor","360","SM","","","","","Resistor"
"R33","1","Resistor","360","SM","","","","","Resistor"
"R36","1","Resistor","360","SM","","","","","Resistor"
"R34","1","Resistor","360","SM","","","","","Resistor"
"R25","1","RESISTOR 5025","10k","5025","","","","",""
"R26","1","RESISTOR 5025","10k","5025","","","","",""
"R37","1","Resistor2","10K","SM","","","","","Resistor (USA type)"
"D9","1","Resistor2","GREEN","SM","","","","","Resistor (USA type)"
"D1","1","RGB LED","","USER","","","","",""
"D2","1","RGB LED","","USER","","","","",""
"U4","1","SFH6206","","USER","","","","",""
"U8","1","SPX3819","","USER","","","","",""
"TP3","1","TP","","USER","","","","",""
"TP1","1","TP","","USER","","","","",""
"TP2","1","TP","","USER","","","","",""
"TP8","1","TP","","USER","","","","",""
"TP7","1","TP","","USER","","","","",""
"TP5","1","TP","","USER","","","","",""
"TP6","1","TP","","USER","","","","",""
"TP4","1","TP","","USER","","","","",""
"T1","1","Transfo 1.5:1","","USER","","","","",""
"H1","1","Trou 120V","","USER","","","","",""
"H2","1","Trou 120V","","USER","","","","",""
"H3","1","Trou 120V","","USER","","","","",""
"H4","1","Trou 120V","","USER","","","","",""
"H5","1","Trou 120V","","USER","","","","",""
"H6","1","Trou 120V","","USER","","","","",""
"D3","1","TVS DIODE","","USER","","","","",""
"J5","1","USB mini B Angle","","USER","","","","",""
"V1","1","VIS","","USER","","","","",""
"V2","1","VIS","","USER","","","","",""
"V3","1","VIS","","USER","","","","",""
"V4","1","VIS","","USER","","","","",""
"D5","1","ZENER BZV55","","user","","","","",""
"D4","1","ZENER BZV55","","user","","","","",""
"D6","1","ZENER BZV55","","user","","","","",""
